Accuracy,Precision,Recall,F1,BalancedAcc,TN,FP,FN,TP,BusinessValue,MeanProba,rep,fold,Model,Sampler,DecisionRule,ThresholdUsed,p_contact
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11056162778258613,1,1,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.741442097596504,0.2568770226537217,0.6842672413793104,0.3735294117647059,0.7164838258880136,5473,1837,293,635,25015,0.11056162778258613,1,1,DecisionTree,None,Top30PctContacted,,0.3
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11350542546152581,1,2,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7394998786113134,0.2536407766990291,0.6756465517241379,0.3688235294117647,0.7116262854379923,5465,1845,301,627,23375,0.11350542546152581,1,2,DecisionTree,None,Top30PctContacted,,0.3
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11433114722970728,1,3,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7467831998057781,0.2657766990291262,0.7079741379310345,0.3864705882352941,0.7298420621255719,5495,1815,271,657,29525,0.11433114722970728,1,3,DecisionTree,None,Top30PctContacted,,0.3
0.11266237707903363,0.11266237707903363,1.0,0.20250954719039826,0.5,0,7309,0,928,56255,0.11342225040837073,1,4,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7426247420177249,0.2588996763754045,0.6896551724137931,0.3764705882352941,0.7195026443543859,5477,1832,288,640,26040,0.11342225040837073,1,4,DecisionTree,None,Top30PctContacted,,0.3
0.11266237707903363,0.11266237707903363,1.0,0.20250954719039826,0.5,0,7309,0,928,56255,0.11077086442871673,1,5,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7423819351705718,0.25849514563106796,0.6885775862068966,0.37588235294117645,0.7188954424398828,5476,1833,289,639,25835,0.11077086442871673,1,5,DecisionTree,None,Top30PctContacted,,0.3
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11602154300149489,2,1,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7460548676863317,0.2645631067961165,0.7047413793103449,0.3847058823529412,0.728020484456814,5492,1818,274,654,28910,0.11602154300149489,2,1,DecisionTree,None,Top30PctContacted,,0.3
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11047437867972622,2,2,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7402282107307598,0.25485436893203883,0.6788793103448276,0.37058823529411766,0.7134478631067503,5468,1842,298,630,23990,0.11047437867972622,2,2,DecisionTree,None,Top30PctContacted,,0.3
0.11264870114105366,0.11264870114105366,1.0,0.20248745363299148,0.5,0,7310,0,928,56250,0.11349215152866424,2,3,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7356154406409323,0.247168284789644,0.6584051724137931,0.3594117647058824,0.7019112045379499,5449,1861,317,611,20095,0.11349215152866424,2,3,DecisionTree,None,Top30PctContacted,,0.3
0.11266237707903363,0.11266237707903363,1.0,0.20250954719039826,0.5,0,7309,0,928,56255,0.10896015544575033,2,4,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.7397110598518878,0.2540453074433657,0.6767241379310345,0.36941176470588233,0.7122162213803482,5465,1844,300,628,23580,0.10896015544575033,2,4,DecisionTree,None,Top30PctContacted,,0.3
0.11266237707903363,0.11266237707903363,1.0,0.20250954719039826,0.5,0,7309,0,928,56255,0.11325300696983615,2,5,DecisionTree,None,ThresholdOptimisedOnTrain,0.0,
0.745781231030715,0.26415857605177995,0.7036637931034483,0.3841176470588235,0.7273962692429268,5490,1819,275,653,28705,0.11325300696983615,2,5,DecisionTree,None,Top30PctContacted,,0.3
0.6131342558873513,0.19726614848566068,0.7931034482758621,0.3159476282464048,0.6916953629888203,4315,2995,192,736,39425,0.11163645688042141,1,1,RandomForest,None,ThresholdOptimisedOnTrain,0.06,
0.7494537509104151,0.2702265372168285,0.7198275862068966,0.39294117647058824,0.7365211802443512,5506,1804,260,668,31780,0.11163645688042141,1,1,RandomForest,None,Top30PctContacted,,0.3
0.2034474386987133,0.1212691583759075,0.9719827586206896,0.2156347119292374,0.538932555780933,774,6536,26,902,54920,0.11292668829592188,1,2,RandomForest,None,ThresholdOptimisedOnTrain,0.035,
0.7448409808205875,0.26254045307443363,0.6993534482758621,0.38176470588235295,0.7249845216755508,5487,1823,279,649,27885,0.11292668829592188,1,2,RandomForest,None,Top30PctContacted,,0.3
0.6023306627822287,0.19616977225672877,0.8168103448275862,0.31636060100166946,0.6959564720033964,4204,3106,170,758,43270,0.1147388082973457,1,3,RandomForest,None,ThresholdOptimisedOnTrain,0.06,
0.7533381888807963,0.2766990291262136,0.7370689655172413,0.4023529411764706,0.7462362611443936,5522,1788,244,684,35060,0.1147388082973457,1,3,RandomForest,None,Top30PctContacted,,0.3
0.23236615272550687,0.12550326252950159,0.9741379310344828,0.22235887344730046,0.5561618646826538,1010,6299,24,904,56505,0.11372594187938258,1,4,RandomForest,None,ThresholdOptimisedOnTrain,0.035,
0.7472380721136336,0.26658576051779936,0.7101293103448276,0.3876470588235294,0.7310394807299456,5496,1813,269,659,29935,0.11372594187938258,1,4,RandomForest,None,Top30PctContacted,,0.3
0.611630447978633,0.19728072513996267,0.7974137931034483,0.3163069031844411,0.692727966465529,4298,3011,188,740,40145,0.11012037757588422,1,5,RandomForest,None,ThresholdOptimisedOnTrain,0.06,
