CostModel,Model,BV_mean,BV_std,BalancedAcc_mean,F1_mean
"Base (FN-100, FP-5)",RandomForest,31165.0,2218.4666877022164,0.734692827202241,0.3911764705882353
"Base (FN-100, FP-5)",DecisionTree,25507.0,2952.126540497733,0.7179342302970635,0.3749411764705882
Higher FP (FP-20),RandomForest,4060.0,2380.793518509696,0.734692827202241,0.3911764705882353
Higher FP (FP-20),DecisionTree,-2012.0,3168.135799558542,0.7179342302970635,0.3749411764705882
Lower FN (FN-50),RandomForest,44315.0,1677.3772516772858,0.734692827202241,0.3911764705882353
Lower FN (FN-50),DecisionTree,40037.0,2232.0956769617,0.7179342302970635,0.3749411764705882
